time;us_java_dev;us_driver;us_accountant;us_attorney;us_sales_manager;us_nurse;uk_java_dev;uk_driver;uk_accountant;uk_attorney;uk_sales_manager;uk_nurse;india_java_dev;india_python_dev;india_cplpl_dev;
20230423;null;63654;42001;null;33327;103096;3222;13099;13937;null;15928;22173
20230424;15035;63592;41889;null;33294;102880;3222;13167;13867;null;15895;22099
20230424;14915;63160;41696;null;33075;102520;3208;12853;13904;null;15627;21943
20230425;14938;null;41991;null;33275;103081;3210;13183;13938;6957;15907;21909
20230426;14835;63897;null;null;33289;103133;3185;13259;14130;null;null;21759
20230502;null;null;null;null;null;null;null;null;null;null;null;null
20230516;14379;65610;41596;null;32821;102432;3023;13618;14023;null;15879;23092
20230529;13753;64815;40296;null;32215;100237;2860;13751;13596;null;15426;23519
20230530;null;64152;39554;11679;null;99027;2870;13324;13394;null;null;22490
20230727;null;null;null;null;null;null;null;null;null;null;null;null
20231015;null;null;null;null;null;null;null;null;null;null;null;null
20240114;null;null;null;null;null;null
20240114;30193;474999;24370;27019;356544;668834
20240115;28889;472449;24246;26974;361378;682932;null;null;null;null;null;null
20240116;28827;485068;27017;30159;360020;703282;5303;65233;null;1828;96737;72197;19999;19466;null
20240119;21095;510675;25207;28803;362672;638117;4911;67901;null;1699;98561;68052;19845;19462;null
20240124;14383;399416;15672;20039;230239;600857;5053;59675;null;1513;97666;68741;18584;17844;null
20240125;12230;406847;13707;17311;200723;601773;7741;96819;null;2255;156831;120923;19148;18729;null
20240126;11181;427103;13180;16963;193810;579000;7811;94805;null;2207;156209;119697;19219;18825;null
20240130;8575;373316;12737;14536;149387;408558;3871;24367;null;832;50615;16971;18934;18667;null
20240201;27982;483873;22230;30331;279154;673718;4574;49054;null;1389;81615;32806;18786;18648;null
20240208;33875;540890;38414;34195;384142;780172;4969;61305;null;1346;91951;66238;19468;19211;null
20240213;37516;512379;29291;35103;360933;723552;4849;60813;null;1380;95067;73522;21918;21035;null
20240213;36586;502053;28816;34995;355130;710287;4839;61088;null;1372;94587;70870;21917;21048;null
20240302;23445;462941;22151;28192;261339;651698;6199;39087;null;1191;54738;22343;26808;26814;null
20240306;33597;508726;23744;28134;309627;594404;6113;40937;null;1448;57160;25764;28063;28345;null
20240317;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
20240317;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
20240317;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
20240317;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
20240317;31301;486627;19628;23187;346295;694254;5660;31758;null;1469;51711;18433;4029;4561;null
